number, name, category
1, The Morning Breaks, Restoration
2, The Spirit of God, Restoration
3, Now Let Us Rejoice, Restoration
5, High on the Mountain Top, Restoration
6, Redeemer of Israel, Restoration
7, Israel Israel God is Calling, Restoration
13, An Angel from on High, Restoration
19, We Thank Thee O God for a Prophet, Restoration
21, Come Listen to a Prophet's Voice, Restoration
23, We Ever Pray for Thee, Restoration
24, God Bless Our Prophet Dear, Restoration
26, Joseph Smith's First Prayer, Restoration
27, Praise to the Man, Restoration
29, A Poor Wayfaring Man of Grief, Restoration
30, Come Come Ye Saints, Restoration
35, For the Strength of the Hills, Restoration
50, Come Thou Glorious Day of Promise, Restoration
52, The Day Dawn is Breaking, Restoration
58, Come Ye Children of the Lord, Restoration
59, Come O Thou King of Kings, Restoration
62, All Creatures of Our God and King, Praise and Thanksgiving
66, Rejoice the Lord is King!, Praise and Thanksgiving
67, Glory to God on High, Praise and Thanksgiving
68, A Mighty Fortress Is Our God, Praise and Thanksgiving
69, All Glory Laud and Honor, Praise and Thanksgiving
78, God of Our Fathers Whose Almighty Hand, Praise and Thanksgiving
81, Press Forward Saints, Praise and Thanksgiving
83, Guide Us O Thou Great Jehovah, Praise and Thanksgiving
85, How Firm a Foundation, Praise and Thanksgiving
86, How Great Thou Art, Praise and Thanksgiving
87, God Is Love, Praise and Thanksgiving
89, The Lord Is My Light, Praise and Thanksgiving
92, For the Beauty of the Earth, Praise and Thanksgiving
93, Prayer of Thanksgiving, Praise and Thanksgiving
94, Come Ye Thankful People, Praise and Thanksgiving
96, Dearest Children God Is Near You, Praise and Thanksgiving
97, Lead Kindly Light, Prayer and Supplication
98, I Need Thee Every Hour, Prayer and Supplication
100, Nearer My God to Thee, Prayer and Supplication
102, Jesus Lover of My Soul, Prayer and Supplication
105, Master the Tempest Is Raging, Prayer and Supplication
108, The Lord Is My Shepherd, Prayer and Supplication
113, Our Savior's Love, Prayer and Supplication
116, Come Follow Me, Prayer and Supplication
117, Come unto Jesus, Prayer and Supplication
119, Come We That Love the Lord, Prayer and Supplication
122, Though Deepening Trials, Prayer and Supplication
125, How Gentle God's Commands, Prayer and Supplication
128, When Faith Endures, Prayer and Supplication
129, Where Can I Turn for Peace?, Prayer and Supplication
130, Be Thou Humble, Prayer and Supplication
131, More Holiness Give Me, Prayer and Supplication
133, Father in Heaven, Prayer and Supplication
134, I Believe in Christ, Prayer and Supplication
135, My Redeemer Lives, Prayer and Supplication
136, I Know That My Redeemer Lives, Prayer and Supplication
137, Testimony, Prayer and Supplication
140, Did You Think to Pray?, Prayer and Supplication
141, Jesus the Very Thought of Thee, Prayer and Supplication
142, Sweet Hour of Prayer, Prayer and Supplication
143, Let the Holy Spirit Guide, Prayer and Supplication
144, Secret Prayer, Prayer and Supplication
145, Prayer is the Soul's Sincere Desire, Prayer and Supplication
146, Gently Raise the Sacred Strain, Prayer and Supplication
147, Sweet Is the Work, Prayer and Supplication
149, As the Dew from Heaven Distilling, Prayer and Supplication
150, O Thou Kind and Gracious Father, Prayer and Supplication
152, God Be with You Till We Meet Again, Prayer and Supplication
153, Lord We Ask Thee Ere We Part, Prayer and Supplication
156, Sing We Now at Parting, Prayer and Supplication
157, Thy Spirit Lord Has Stirred Our Souls, Prayer and Supplication
159, Now the Day Is Over, Prayer and Supplication
160, Softly Now the Light of Day, Prayer and Supplication
163, Lord Dismiss Us with Thy Blessing, Prayer and Supplication
165, Abide with Me; 'Tis Eventide, Prayer and Supplication
166, Abide with Me!, Prayer and Supplication
170, God Our Father Hear Us Pray, Sacrament
172, In Humility Our Savior, Sacrament
174, While of These Emblems We Partake, Sacrament
175, O God the Eternal Father, Sacrament
181, Jesus of Nazareth Savior and King, Sacrament
182, We'll Sing All Hail to Jesus' Name, Sacrament
184, Upon the Cross of Calvary, Sacrament
187, God Loved Us So He Sent His Son, Sacrament
190, In Memory of the Crucified, Sacrament
191, Behold the Great Redeemer Die, Sacrament
193, I Stand All Amazed, Sacrament
194, There Is a Green Hill Far Away, Sacrament
195, How Great the Wisdom and the Love, Sacrament
196, Jesus Once of Humble Birth, Sacrament
199, He Is Risen!, Easter
200, Christ the Lord Is Risen Today, Easter
201, Joy to the World, Christmas
202, Oh Come All Ye Faithful, Christmas
203, Angels We Have Heard on High, Christmas
204, Silent Night, Christmas
206, Away in a Manger, Christmas
207, It Came upon the Midnight Clear, Christmas
208, O Little Town of Bethlehem, Christmas
209, Hark! The Herald Angels Sing, Christmas
210, With Wondering Awe, Christmas
212, Far Far Away on Judea's Plains, Christmas
213, The First Noel, Christmas
214, I Heard the Bells on Christmas Day, Christmas
216, We Are Sowing, Special Topics
219, Because I Have Been Given Much, Special Topics
220, Lord I Would Follow Thee, Special Topics
221, Dear to the Heart of the Shepherd, Special Topics
223, Have I Done Any Good?, Special Topics
225, We Are Marching On to Glory, Special Topics
226, Improve the Shining Moments, Special Topics
227, There Is Sunshine in My Soul Today, Special Topics
228, You Can Make the Pathway Bright, Special Topics
229, Today While the Sun Shines, Special Topics
230, Scatter Sunshine, Special Topics
232, Let Us Oft Speak Kind Words, Special Topics
237, Do What Is Right, Special Topics
239, Choose the Right, Special Topics
241, Count Your Blessings, Special Topics
242, Praise God from Whom All Blessings Flow, Special Topics
243, Let Us All Press On, Special Topics
246, Onward Christian Soldiers, Special Topics
249, Called to Serve, Special Topics
250, We Are All Enlisted, Special Topics
251, Behold! A Royal Army, Special Topics
252, Put Your Shoulder to the Wheel, Special Topics
254, True to the Faith, Special Topics
255, Carry On, Special Topics
259, Hope of Israel, Special Topics
263, Go Forth with Faith, Special Topics
264, Hark All Ye Nations!, Special Topics
266, The Time Is Far Spent, Special Topics
267, How Wondrous and Great, Special Topics
269, Jehovah Lord of Heaven and Earth, Special Topics
270, I'll Go Where You Want Me to Go, Special Topics
272, Oh Say What Is Truth?, Special Topics
273, Truth Reflects upon Our Senses, Special Topics
274, The Iron Rod, Special Topics
277, As I Search the Holy Scriptures, Special Topics
280, Welcome Welcome Sabbath Morning, Special Topics
281, Help Me Teach with Inspiration, Special Topics
287, Rise Ye Saints and Temple Enter, Special Topics
291, Turn Your Hearts, Special Topics
292, O My Father, Special Topics
293, Each Life That Touches Ours for Good, Special Topics
294, Love at Home, Special Topics
295, O Love That Glorifies the Son, Special Topics
298, Home Can Be a Heaven on Earth, Special Topics
299, Children of Our Heavenly Father, Children's Songs
300, Families Can Be Together Forever, Children's Songs
301, I Am a Child of God, Children's Songs
302, I Know My Father Lives, Children's Songs
303, Keep the Commandments, Children's Songs
304, Teach Me to Walk in the Light, Children's Songs
305, The Light Divine, Children's Songs
306, God's Daily Care, Children's Songs
307, In Our Lovely Deseret, Children's Songs
308, Love One Another, Children's Songs
309, As Sisters in Zion, Women
319, Ye Elders of Israel, Men
321, Ye Who Are Called to Labor, Men
322, Come All Ye Sons of God, Men